Rodada 1, Cliente 1, Epoca 27, G_loss 15.786203828994914, D_loss 0.00011593350863063845, Tempo 26.31399655342102
Rodada 1, Cliente 2, Epoca 41, G_loss 6.865561386172691, D_loss 0.02024259455593596, Tempo 16.16918396949768
Rodada 1, Cliente 3, Epoca 39, G_loss 17.423143969084087, D_loss 1.1655839192539325e-05, Tempo 18.421786785125732
Rodada 1, Cliente 2, Epoca 42, G_loss 8.193401794755056, D_loss 0.029759849100842943, Tempo 17.48630690574646
Rodada 1, Cliente 0, Epoca 27, G_loss 75.67216662115248, D_loss 2.1636848417558946e-07, Tempo 26.759954929351807
Rodada 1, Cliente 1, Epoca 28, G_loss 13.238391957673313, D_loss 0.011725843008193768, Tempo 26.444686889648438
Rodada 1, Cliente 3, Epoca 40, G_loss 17.417362950977527, D_loss 1.0832922213778242e-05, Tempo 17.67286205291748
Rodada 1, Cliente 2, Epoca 43, G_loss 8.134154097417767, D_loss 0.017823571661844315, Tempo 16.576244115829468
Rodada 1, Cliente 0, Epoca 28, G_loss 75.6032546525149, D_loss 1.6494511521165214e-07, Tempo 27.135799407958984
Rodada 1, Cliente 1, Epoca 29, G_loss 14.67741898709769, D_loss 0.00013486493898153296, Tempo 26.183982849121094
Rodada 1, Cliente 3, Epoca 41, G_loss 17.987823988261976, D_loss 5.841170666312073e-06, Tempo 18.07793116569519
Rodada 1, Cliente 2, Epoca 44, G_loss 7.92904672461949, D_loss 0.03386714218741576, Tempo 17.140294790267944
Rodada 1, Cliente 2, Epoca 45, G_loss 5.904573886582021, D_loss 0.06119773486430307, Tempo 17.958293676376343
Rodada 1, Cliente 3, Epoca 42, G_loss 17.684773505361456, D_loss 5.887339042194646e-06, Tempo 18.66393780708313
Rodada 1, Cliente 0, Epoca 29, G_loss 75.56501269258584, D_loss 1.316499469378193e-07, Tempo 26.11114239692688
Rodada 1, Cliente 1, Epoca 30, G_loss 17.423065188940733, D_loss 9.04732654287762e-06, Tempo 24.92041301727295
Rodada 1, Cliente 2, Epoca 46, G_loss 7.79133348250657, D_loss 0.029057076793383766, Tempo 16.725252151489258
Rodada 1, Cliente 3, Epoca 43, G_loss 18.168418231763336, D_loss 4.603776549653335e-06, Tempo 17.59585738182068
Rodada 1, Cliente 0, Epoca 30, G_loss 75.480156862449, D_loss 1.0804903720041715e-07, Tempo 28.144771099090576
Rodada 1, Cliente 1, Epoca 31, G_loss 18.286546530672663, D_loss 6.920662620651816e-06, Tempo 27.02536153793335
Rodada 1, Cliente 2, Epoca 47, G_loss 6.806522247496615, D_loss 0.06212469519984521, Tempo 15.928553104400635
Rodada 1, Cliente 3, Epoca 44, G_loss 18.0335600551806, D_loss 1.2090116498304843e-05, Tempo 17.330029487609863
Rodada 1, Cliente 2, Epoca 48, G_loss 5.93684398056416, D_loss 0.06557282977580522, Tempo 17.479225397109985
Rodada 1, Cliente 3, Epoca 45, G_loss 0.2780510802508185, D_loss 49.21321045588488, Tempo 18.705360412597656
